Country,City,Year,City average temperature,Global average temperature
Albania,Tirana,1750,15.91,8.72
Albania,Tirana,1751,16.23,7.98
Albania,Tirana,1752,11.88,5.78
Albania,Tirana,1753,15.48,8.39
Albania,Tirana,1754,15.46,8.47
Albania,Tirana,1755,15.23,8.36
Albania,Tirana,1756,15.92,8.85
Albania,Tirana,1757,15.62,9.02
Albania,Tirana,1758,14.38,6.74
Albania,Tirana,1759,15.43,7.99
Albania,Tirana,1760,15.11,7.19
Albania,Tirana,1761,15.79,8.77
Albania,Tirana,1762,15.61,8.61
Albania,Tirana,1763,14.96,7.5
Albania,Tirana,1764,15.78,8.4
Albania,Tirana,1765,15.65,8.25
Albania,Tirana,1766,15.51,8.41
Albania,Tirana,1767,15.07,8.22
Albania,Tirana,1768,14.28,6.78
Albania,Tirana,1769,15.32,7.69
Albania,Tirana,1770,15.29,7.69
Albania,Tirana,1771,15.32,7.85
Albania,Tirana,1772,16.66,8.19
Albania,Tirana,1773,15.58,8.22
Albania,Tirana,1774,15.79,8.77
Albania,Tirana,1775,16.11,9.18
Albania,Tirana,1776,15.12,8.3
Albania,Tirana,1777,15.13,8.26
Albania,Tirana,1778,16.05,8.54
Albania,Tirana,1779,16.08,8.98
Albania,Tirana,1780,15.85,9.43
Albania,Tirana,1781,15.92,8.1
Albania,Tirana,1782,15.1,7.9
Albania,Tirana,1783,15.58,7.68
Albania,Tirana,1784,15.25,7.86
Albania,Tirana,1785,14.74,7.36
Albania,Tirana,1786,15.07,8.26
Albania,Tirana,1787,15.66,8.03
Albania,Tirana,1788,15.78,8.45
Albania,Tirana,1789,15.45,8.33
Albania,Tirana,1790,15.72,7.98
Albania,Tirana,1791,16.06,8.23
Albania,Tirana,1792,15.48,8.09
Albania,Tirana,1793,15.19,8.23
Albania,Tirana,1794,15.86,8.53
Albania,Tirana,1795,15.49,8.35
Albania,Tirana,1796,15.67,8.27
Albania,Tirana,1797,16.2,8.51
Albania,Tirana,1798,15.84,8.67
Albania,Tirana,1799,15.2,8.51
Albania,Tirana,1800,15.93,8.48
Albania,Tirana,1801,16.34,8.59
Albania,Tirana,1802,16.42,8.58
Albania,Tirana,1803,15.34,8.5
Albania,Tirana,1804,15.72,8.84
Albania,Tirana,1805,14.71,8.56
Albania,Tirana,1806,15.8,8.43
Albania,Tirana,1807,16.01,8.28
Albania,Tirana,1808,14.51,7.63
Albania,Tirana,1809,14.88,7.08
Albania,Tirana,1810,15.27,6.92
Albania,Tirana,1811,15.72,6.86
Albania,Tirana,1812,14.51,7.05
Albania,Tirana,1813,14.75,7.74
Albania,Tirana,1814,14.48,7.59
Albania,Tirana,1815,14.76,7.24
Albania,Tirana,1816,14.31,6.94
Albania,Tirana,1817,14.99,6.98
Albania,Tirana,1818,15.39,7.83
Albania,Tirana,1819,15.3,7.37
Albania,Tirana,1820,15.38,7.62
Albania,Tirana,1821,15.15,8.09
Albania,Tirana,1822,15.98,8.19
Albania,Tirana,1823,15.24,7.72
Albania,Tirana,1824,15.82,8.55
Albania,Tirana,1825,15.29,8.39
Albania,Tirana,1826,15.12,8.36
Albania,Tirana,1827,15.62,8.81
Albania,Tirana,1828,15.49,8.17
Albania,Tirana,1829,14.54,7.94
Albania,Tirana,1830,15.29,8.52
Albania,Tirana,1831,15.28,7.64
Albania,Tirana,1832,14.6,7.45
Albania,Tirana,1833,15.16,8.01
Albania,Tirana,1834,15.7,8.15
Albania,Tirana,1835,14.62,7.39
Albania,Tirana,1836,15.2,7.7
Albania,Tirana,1837,14.32,7.38
Albania,Tirana,1838,14.57,7.51
Albania,Tirana,1839,15.14,7.63
Albania,Tirana,1840,14.73,7.8
Albania,Tirana,1841,16,7.69
Albania,Tirana,1842,14.97,8.02
Albania,Tirana,1843,15.41,8.17
Albania,Tirana,1844,15.06,7.65
Albania,Tirana,1845,15.32,7.85
Albania,Tirana,1846,16.32,8.55
Albania,Tirana,1847,14.96,8.09
Albania,Tirana,1848,15.58,7.98
Albania,Tirana,1849,15.13,7.98
Albania,Tirana,1850,14.62,7.9
Albania,Tirana,1851,15.14,8.18
Albania,Tirana,1852,15.66,8.1
Albania,Tirana,1853,15.67,8.04
Albania,Tirana,1854,14.83,8.21
Albania,Tirana,1855,15.23,8.11
Albania,Tirana,1856,15,8
Albania,Tirana,1857,14.92,7.76
Albania,Tirana,1858,14.45,8.1
Albania,Tirana,1859,15.57,8.25
Albania,Tirana,1860,15.53,7.96
Albania,Tirana,1861,15.43,7.85
Albania,Tirana,1862,15.87,7.56
Albania,Tirana,1863,16.07,8.11
Albania,Tirana,1864,14.7,7.98
Albania,Tirana,1865,15.35,8.18
Albania,Tirana,1866,15.69,8.29
Albania,Tirana,1867,15.61,8.44
Albania,Tirana,1868,15.62,8.25
Albania,Tirana,1869,15.39,8.43
Albania,Tirana,1870,14.93,8.2
Albania,Tirana,1871,14.76,8.12
Albania,Tirana,1872,16.14,8.19
Albania,Tirana,1873,15.72,8.35
Albania,Tirana,1874,14.83,8.43
Albania,Tirana,1875,14.5,7.86
Albania,Tirana,1876,15.59,8.08
Albania,Tirana,1877,15.3,8.54
Albania,Tirana,1878,15.48,8.83
Albania,Tirana,1879,15.22,8.17
Albania,Tirana,1880,15.3,8.12
Albania,Tirana,1881,15.03,8.27
Albania,Tirana,1882,15.48,8.13
Albania,Tirana,1883,14.83,7.98
Albania,Tirana,1884,14.7,7.77
Albania,Tirana,1885,15.55,7.92
Albania,Tirana,1886,15.55,7.95
Albania,Tirana,1887,15.41,7.91
Albania,Tirana,1888,14.79,8.09
Albania,Tirana,1889,14.94,8.32
Albania,Tirana,1890,14.99,7.97
Albania,Tirana,1891,14.93,8.02
Albania,Tirana,1892,15.57,8.07
Albania,Tirana,1893,14.72,8.06
Albania,Tirana,1894,15.24,8.16
Albania,Tirana,1895,15.31,8.15
Albania,Tirana,1896,14.98,8.21
Albania,Tirana,1897,15.22,8.29
Albania,Tirana,1898,15.8,8.18
Albania,Tirana,1899,15.47,8.4
Albania,Tirana,1900,15.96,8.5
Albania,Tirana,1901,15.32,8.54
Albania,Tirana,1902,15.43,8.3
Albania,Tirana,1903,15.39,8.22
Albania,Tirana,1904,15.44,8.09
Albania,Tirana,1905,15.07,8.23
Albania,Tirana,1906,15.04,8.38
Albania,Tirana,1907,15.18,7.95
Albania,Tirana,1908,15.19,8.19
Albania,Tirana,1909,15.4,8.18
Albania,Tirana,1910,15.48,8.22
Albania,Tirana,1911,15.41,8.18
Albania,Tirana,1912,14.96,8.17
Albania,Tirana,1913,15.33,8.3
Albania,Tirana,1914,14.96,8.59
Albania,Tirana,1915,15.55,8.59
Albania,Tirana,1916,16.41,8.23
Albania,Tirana,1917,15.54,8.02
Albania,Tirana,1918,15.57,8.13
Albania,Tirana,1919,15.2,8.38
Albania,Tirana,1920,15.73,8.36
Albania,Tirana,1921,15.44,8.57
Albania,Tirana,1922,15.62,8.41
Albania,Tirana,1923,16.16,8.42
Albania,Tirana,1924,15.52,8.51
Albania,Tirana,1925,15.55,8.53
Albania,Tirana,1926,16.14,8.73
Albania,Tirana,1927,16.54,8.52
Albania,Tirana,1928,15.87,8.63
Albania,Tirana,1929,14.99,8.24
Albania,Tirana,1930,16.11,8.63
Albania,Tirana,1931,15.64,8.72
Albania,Tirana,1932,15.55,8.71
Albania,Tirana,1933,15.03,8.34
Albania,Tirana,1934,16.41,8.63
Albania,Tirana,1935,15.84,8.52
Albania,Tirana,1936,16,8.55
Albania,Tirana,1937,16.15,8.7
Albania,Tirana,1938,15.52,8.86
Albania,Tirana,1939,15.93,8.76
Albania,Tirana,1940,14.52,8.76
Albania,Tirana,1941,14.96,8.77
Albania,Tirana,1942,15.3,8.73
Albania,Tirana,1943,16.21,8.76
Albania,Tirana,1944,15.36,8.85
Albania,Tirana,1945,15.93,8.58
Albania,Tirana,1946,16.37,8.68
Albania,Tirana,1947,16.34,8.8
Albania,Tirana,1948,15.72,8.75
Albania,Tirana,1949,15.51,8.59
Albania,Tirana,1950,16.74,8.37
Albania,Tirana,1951,16.4,8.63
Albania,Tirana,1952,16.39,8.64
Albania,Tirana,1953,15.53,8.87
Albania,Tirana,1954,15.44,8.56
Albania,Tirana,1955,16.09,8.63
Albania,Tirana,1956,15.2,8.28
Albania,Tirana,1957,16.04,8.73
Albania,Tirana,1958,16.08,8.77
Albania,Tirana,1959,15.37,8.73
Albania,Tirana,1960,16.3,8.58
Albania,Tirana,1961,16.19,8.8
Albania,Tirana,1962,15.99,8.75
Albania,Tirana,1963,16.06,8.86
Albania,Tirana,1964,15.47,8.41
Albania,Tirana,1965,15.31,8.53
Albania,Tirana,1966,16,8.6
Albania,Tirana,1967,15.55,8.7
Albania,Tirana,1968,15.71,8.52
Albania,Tirana,1969,15.72,8.6
Albania,Tirana,1970,15.67,8.7
Albania,Tirana,1971,15.45,8.6
Albania,Tirana,1972,15.49,8.5
Albania,Tirana,1973,15.51,8.95
Albania,Tirana,1974,15.44,8.47
Albania,Tirana,1975,15.49,8.74
Albania,Tirana,1976,14.99,8.35
Albania,Tirana,1977,16.04,8.85
Albania,Tirana,1978,15.12,8.69
Albania,Tirana,1979,15.87,8.73
Albania,Tirana,1980,15.05,8.98
Albania,Tirana,1981,15.49,9.17
Albania,Tirana,1982,16.08,8.64
Albania,Tirana,1983,15.45,9.03
Albania,Tirana,1984,15.55,8.69
Albania,Tirana,1985,15.91,8.66
Albania,Tirana,1986,16.07,8.83
Albania,Tirana,1987,15.93,8.99
Albania,Tirana,1988,15.99,9.2
Albania,Tirana,1989,15.7,8.92
Albania,Tirana,1990,16.37,9.23
Albania,Tirana,1991,15.36,9.18
Albania,Tirana,1992,16.06,8.84
Albania,Tirana,1993,16.05,8.87
Albania,Tirana,1994,16.96,9.04
Albania,Tirana,1995,15.67,9.35
Albania,Tirana,1996,15.64,9.04
Albania,Tirana,1997,15.9,9.2
Albania,Tirana,1998,16.27,9.52
Albania,Tirana,1999,16.57,9.29
Albania,Tirana,2000,16.67,9.2
Albania,Tirana,2001,16.59,9.41
Albania,Tirana,2002,16.47,9.57
Albania,Tirana,2003,16.69,9.53
Albania,Tirana,2004,16.16,9.32
Albania,Tirana,2005,15.67,9.7
Albania,Tirana,2006,15.92,9.53
Albania,Tirana,2007,16.67,9.73
Albania,Tirana,2008,16.71,9.43
Albania,Tirana,2009,16.73,9.51
Albania,Tirana,2010,16.52,9.7
Albania,Tirana,2011,16.45,9.52
Albania,Tirana,2012,16.7,9.51
Albania,Tirana,2013,17.41,9.61
